시군,시설명,대표자,소재지도로명주소,위도,경도,전화번호
청주,실버복지용구,김소희,"청주시 서원구 1순환로 765, 1층 (개신동)",36.6256249,127.4637761,043-268-9317
청주,(A+)예담노인복지센터,윤태희,"청주시 서원구 서부로 1348, 2층 201호 (성화동)",36.6173882,127.4480103,043-234-7173
청주,동행케어재가노인복지센터,최현주,"청주시 서원구 수곡로113번길 51, 1층 103호 (수곡동)",36.6186302,127.470913,043-295-5675
청주,백세시니어타운 재가장기요양기관,신영철,청주시 서원구 남이면 청남로 1809-5,36.5971385,127.4712819,043-297-0406
청주,상당메디칼,서인석,"청주시 서원구 1순환로 785, 102호 (개신동)",36.6225547,127.4581171,043-274-5046
청주,늘품사회적협동조합 재가복지센터,고성훈,청주시 서원구 수영로60번길 5 (수곡동),36.6154387,127.4927521,043-287-0710
청주,아로마재가복지센터,이윤영,"청주시 서원구 1순환로1063번길 111-16, 201호 (분평동)",36.6119327,127.485975,043-291-1004
청주,고향의봄 주야간보호센터(2호점),이연희,"청주시 서원구 1순환로1063번길 77, 5층 (분평동, 라데팡스륀느관)",36.6099733,127.4855261,043-286-6724
청주,효림노인주야간보호센터,권오일,"청주시 서원구 1순환로1107번길 20, 503호 (분평동, 해피존빌딩)",36.6071629,127.4899132,043-297-5557
청주,섬김 재가복지센터,김영옥,"청주시 서원구 구룡산로 397-2, 1층 (수곡동)",36.6182708,127.4885801,043-287-8853
청주,동.서.남.북 노인재가장기요양기관,이영순,청주시 서원구 남이면 갈원팔봉길 115,36.575947,127.4027409,043-237-0075
청주,연원메디컬,이동숙,"청주시 서원구 두꺼비로27번길 58, 103호(산남동)",36.6080319,127.4653487,043-222-3322
청주,늘봄노인복지센터,윤정난,청주시 서원구 남이면 양촌1길 21-5,36.58573,127.4678577,043-286-2088
청주,남이노인복지센터,신미경,청주시 서원구 남이면 척산리 772-2 외 1필지,36.567236,127.4323409,043-263-1009
청주,보람케어노인복지센터,유정옥,"청주시 서원구 두꺼비로 8, 102호 (산남동)",36.6093502,127.4696302,043-295-4817
청주,쉼실버주야간보호센터,신민한,"청주시 서원구 모충로 40, 3,4층 (개신동)",36.6252491,127.4684831,043-263-4255
청주,가나노인주간보호센터,김동철,"청주시 서원구 모충로44번길 5, 3, 4층 (개신동)",36.6254104,127.4688834,043-714-3344
청주,정성방문요양센터,오명수,청주시 서원구 모충로96번길 6 (모충동),36.6273995,127.4736951,043-269-0337
청주,더시니어스재가복지센터,권용연,청주시 서원구 무심서로 357-2 (모충동),36.6255039,127.4870296,043-224-0630
청주,다사랑주간보호센터,한칠석,"청주시 서원구 복대로 13, 3층 (개신동)",36.6184294,127.4458215,043-264-3322
청주,다사랑노인복지센터,강영구,"청주시 서원구 복대로 13, 6층 (개신동, 금원빌딩)",36.6184294,127.4458215,043-296-3322
청주,지극정성노인복지센터,김나경,"청주시 서원구 복대로 15, 5층 (개신동, 두성빌딩)",36.6186086,127.4457242,043-232-9959
청주,효심 주간보호센터,임장혁,"청주시 서원구 복대로 23, 502호 (개신동, 효림메디컬센터)",36.619264,127.4452939,043-267-6161
청주,100세동안재가장기요양기관(청주점),권달원,청주시 서원구 사직대로 270 (사직동),36.6355102,127.4773576,043-262-1113
청주,고려요양협동조합,심귀택,"청주시 서원구 사직대로 273, 3층 (사직동)",36.6360642,127.4776388,043-264-1919
청주,마중재가노인복지센터(서원점),김선희,"청주시 서원구 사직대로144번길 34, 1층 19호 (사창동)",36.6335704,127.4628591,043-264-1285
청주,직지재가복지센터,이태영,"청주시 서원구 사직대로144번길 34, 2층 10, 11호 (사창동, 신라아파트 상가)",36.6335704,127.4628591,043-267-7779
청주,어울림노인복지센터,박선형,"청주시 서원구 서부로 1348, 3층 (성화동)",36.6173882,127.4480103,043-238-9988
청주,서원주간보호센터,한은정,"청주시 서원구 서부로 1434, 3층 (성화동)",36.6195255,127.4570183,043-263-0866
청주,남경재가장기요양기관,송경자,청주시 서원구 수곡로68번길 8-4 (수곡동),36.6177015,127.4725998,043-286-1020
청주,다드림재가노인복지센터,유호성,"청주시 서원구 수곡로89번길 7-6, 102호 (수곡동)",36.6192526,127.4708188,043-900-2313
청주,남들재가복지센터,우동제,"청주시 서원구 수영로 27-1, 2층 (수곡동)",36.615383,127.4889027,043-285-7453
청주,성화주야간보호센터,한상미,"청주시 서원구 신성화로 41, 3층 (성화동)",36.6186623,127.4580028,043-236-0713
청주,휴앤케어노인복지센터,윤병종,"청주시 서원구 신성화로 49, 2층 (성화동, 백마빌딩)",36.6194015,127.4577961,043-233-3629
청주,사랑드림 노인복지센터,유미경,"청주시 서원구 신화로32번길 2, 5층 (성화동)",36.6174059,127.4557685,043-283-9921
청주,고은재가노인복지센터,고은해,"청주시 서원구 안뜸로40번길 4-1, 1층 (분평동)",36.6118006,127.4817326,043-903-2990
청주,보성재가장기요양기관,이현정,"청주시 서원구 예체로129번길 16, 102호 (사창동)",36.6378428,127.4680518,043-271-0331
청주,고운맘주간보호센터,한정민,"청주시 서원구 예체로67번길 79, 3층 (사창동)",36.6322117,127.4641391,043-265-1270
청주,내고향노인주간보호센터,박지영,"청주시 서원구 장전로 81, 2층 (성화동)",36.6176066,127.4572319,043-236-0150
청주,뿌리노인복지센터,박경수,"청주시 서원구 청남로 1878, 4층 (미평동, 준스퀘어빌딩)",36.6012564,127.4776126,043-272-8870
청주,효성주간보호센터,최진엽,"청주시 서원구 청남로 1994, 5층 (분평동)",36.6102272,127.4845692,043-903-7599
청주,동행재가복지센터,오연정,청주시 서원구 청남로 2095-1 (수곡동),36.6177955,127.4806869,043-217-3337
청주,아이엠홈케어노인재가복지센터,정명희,"청주시 서원구 청남로 2140, 1층 (모충동)",36.622925,127.4886231,043-291-0675
청주,사라노인재가복지센터,곽예은,청주시 서원구 청남로 2155 (모충동),36.6246912,127.4881195,043-295-1240
청주,다복한주간보호센터,오미현,"청주시 서원구 청남로2074번길 56, 1.2.3.4층 (수곡동)",36.6169216,127.4898186,043-285-4545
청주,일상스토리재가방문요양센터,박영숙,청주시 서원구 청남로2104번길 22 (수곡동),36.6196159,127.4894265,043-295-8881
청주,디딤돌재가복지센터,안희정,"청주시 서원구 청남로2136번길 4, 3층 (모충동)",36.6225035,127.4883437,043-903-7822
청주,The기쁜노인복지센터,양현정,"청주시 서원구 장전로 85, 2층 (성화동)",36.6176666,127.4575625,043-233-5552
청주,나이팅게일재가장기요양기관,한지혜,청주시 서원구 사직대로 308-2 (사직동),36.6359403,127.4816648,043-267-8980
청주,다정한방문요양센터,이응란,"청주시 서원구 수영로 10, 1층 (수곡동)",36.6148825,127.4872075,043-293-7201
청주,라온의료기,최민정,"청주시 서원구 1순환로 785, 1층 101호 (개신동, 송학아파트 상가동)",36.62489,127.4655405,043-276-1199
청주,바른재가노인복지센터,송정미,"청주시 서원구 사직대로 155, 1층 (사창동)",36.6354579,127.4646563,043-903-0099
청주,봄날주간보호센터,김명선,"청주시 서원구 무심서로 405, 3층 (모충동)",36.6250304,127.4813555,043-262-4840
청주,청주사랑재가복지센터,안복순,"청주시 서원구 구룡산로 275-5, 상가동 103호 (수곡동)",36.6195057,127.4745619,043-288-3649
청주,효드림주간보호센터,이봉숙,"청주시 서원구 모충로25번길 9, 4층 (개신동)",36.6252828,127.4663975,043-273-0866
청주,효신주간보호센터,박정규,"청주시 서원구 수영로 6, 4층 (수곡동)",36.6147288,127.4866041,043-285-9988
청주,9988방문요양센터,양광연,청주시 흥덕구 덕암로114번길 33 (봉명동),36.6497705,127.4609368,043-277-9988
청주,(A+)동행노인복지센터,백종현,"청주시 흥덕구 2순환로 1265, 3,4,5층 (가경동)",36.6236594,127.4322505,043-234-3651
청주,가나안재가복지센터,정상선,"청주시 흥덕구 풍년로 77, 101호 (가경동)",36.6200627,127.4371868,043-272-4360
청주,가로수 노인주간보호센터,이은경,"청주시 흥덕구 가로수로 1312, 3,5층 (복대동)",36.6324383,127.4391885,043-238-0060
청주,강서주간보호센터,남기변,"청주시 흥덕구 서현중로 53-1, 401호 (강서동)",36.6232417,127.4280361,043-239-1771
청주,나눔재가노인복지센터,조요셉,"청주시 흥덕구 가로수로1312번길 5, 2층 (복대동)",36.6322277,127.438874,043-234-5630
청주,늘청춘주간보호센터,오성남,"청주시 흥덕구 오송읍 연제1길 20-10, 2층",36.6255718,127.323391,043-231-1004
청주,다섬김재가노인복지센터,양현정,"청주시 흥덕구 복대로158번길 17, 101호 (복대동)",36.6306487,127.4419422,043-233-2938
청주,다정노인주간보호센터,한정수,"청주시 흥덕구 1순환로 543, 2층 (봉명동)",36.6441854,127.4636032,043-269-0140
청주,대한재가복지센터,조영희,"청주시 흥덕구 오송읍 가로수로 187-1, 1층",36.6104056,127.3255364,043-231-9733
청주,더프라임재가요양센터,김대성,"청주시 흥덕구 직지대로 781, 1층 (운천동)",36.6457255,127.4790072,043-275-6588
청주,도경노인주간보호센터,이미선,"청주시 흥덕구 가로수로 1077, 1,2층 (비하동)",36.626656,127.4164787,043-223-5311
청주,드림재가장기요양기관,권재선,"청주시 흥덕구 1순환로513번길 33, 106동 105호 (신봉동, 삼정백조아파트)",36.6458647,127.4677852,043-263-1337
청주,마중재가노인복지센터(흥덕점),김보윤,청주시 흥덕구 풍년로112번길 1-5 (가경동),36.6230547,127.4356805,043-238-9443
청주,모헌정재가복지센터,김학은,청주시 흥덕구 오송읍 봉산1길 30-1,36.6203876,127.3228347,043-903-8833
청주,백합 주야간보호센터,최미선,"청주시 흥덕구 비하로35번길 14, 4층 (비하동)",36.6304783,127.4242763,043-236-4988
청주,보금자리주간보호 방문요양센터,심윤정,청주시 흥덕구 옥산면 오산가좌로 151,36.6746762,127.3705908,043-269-0220
청주,보듬재가장기요양기관,최순복,"청주시 흥덕구 대신로10번길 12, 4층 (복대동)",36.6335928,127.4367706,043-291-1919
청주,사랑재가장기요양기관,신춘수,충청북도 청주시 흥덕구 가로수로 1386 (복대동),36.6311068,127.4459534,043-236-3140
청주,사랑으로노인복지센터,최후관,"청주시 흥덕구 1순환로 616, 2층, 3층 (봉명동)",36.6385379,127.4592011,043-275-8575
청주,성은실버케어센터,연성은,"청주시 흥덕구 백봉로 179, 3층 (봉명동)",36.6495668,127.4553991,043-268-0289
청주,신율재가노인복지센터,남미경,청주시 흥덕구 신율로 144 (복대동),36.6302865,127.4472676,043-904-5087
청주,아들네주간보호센터,김미숙,"청주시 흥덕구 오송읍 오송생명로 202, 3층",36.6305525,127.3311708,043-231-7898
