구분,시군,시설명 ,대표자,소재지도로명주소,전화번호
재가노인복지시설,청주,실버복지용구,김소희,"청주시 서원구 1순환로 765, 1층 (개신동)",043-268-9317
재가노인복지시설,청주,(A+)예담노인복지센터,윤태희,"청주시 서원구 서부로 1348, 2층 201호 (성화동)",043-234-7173
재가노인복지시설,청주,동행케어재가노인복지센터,최현주,"청주시 서원구 수곡로113번길 51, 1층 103호 (수곡동)",043-295-5675
재가노인복지시설,청주,백세시니어타운 재가장기요양기관,신영철,청주시 서원구 남이면 청남로 1809-5,043-297-0406
재가노인복지시설,청주,상당메디칼,서인석,"청주시 서원구 1순환로 785, 102호 (개신동)",043-274-5046
재가노인복지시설,청주,늘품사회적협동조합 재가복지센터,고성훈,청주시 서원구 수영로60번길 5 (수곡동),043-287-0710
재가노인복지시설,청주,아로마재가복지센터,이윤영,"청주시 서원구 1순환로1063번길 111-16, 201호 (분평동)",043-291-1004
재가노인복지시설,청주,고향의봄 주야간보호센터(2호점),이연희,"청주시 서원구 1순환로1063번길 77, 5층 (분평동, 라데팡스륀느관)",043-286-6724
재가노인복지시설,청주,효림노인주야간보호센터,권오일,"청주시 서원구 1순환로1107번길 20, 503호 (분평동, 해피존빌딩)",043-297-5557
재가노인복지시설,청주,섬김 재가복지센터,김영옥,"청주시 서원구 구룡산로 397-2, 1층 (수곡동)",043-287-8853
재가노인복지시설,청주,동.서.남.북 노인재가장기요양기관,이영순,청주시 서원구 남이면 갈원팔봉길 115,043-237-0075
재가노인복지시설,청주,연원메디컬,이동숙,"청주시 서원구 두꺼비로27번길 58, 103호(산남동)",043-222-3322
재가노인복지시설,청주,늘봄노인복지센터,윤정난,청주시 서원구 남이면 양촌1길 21-5,043-286-2088
재가노인복지시설,청주,남이노인복지센터,신미경,청주시 서원구 남이면 척산리  772-2 외 1필지,043-263-1009
재가노인복지시설,청주,보람케어노인복지센터,유정옥,"청주시 서원구 두꺼비로 8, 102호 (산남동)",043-295-4817
재가노인복지시설,청주,쉼실버주야간보호센터,신민한,"청주시 서원구 모충로 40, 3,4층 (개신동)",043-263-4255
재가노인복지시설,청주,가나노인주간보호센터,김동철,"청주시 서원구 모충로44번길 5, 3, 4층 (개신동)",043-714-3344
재가노인복지시설,청주,정성방문요양센터,오명수,청주시 서원구 모충로96번길 6 (모충동),043-269-0337
재가노인복지시설,청주,더시니어스재가복지센터,권용연,청주시 서원구 무심서로 357-2 (모충동),043-224-0630
재가노인복지시설,청주,다사랑주간보호센터,한칠석,"청주시 서원구 복대로 13, 3층 (개신동)",043-264-3322
재가노인복지시설,청주,다사랑노인복지센터,강영구,"청주시 서원구 복대로 13, 6층 (개신동, 금원빌딩)",043-296-3322
재가노인복지시설,청주,지극정성노인복지센터,김나경,"청주시 서원구 복대로 15, 5층 (개신동, 두성빌딩)",043-232-9959
재가노인복지시설,청주,효심 주간보호센터,임장혁,"청주시 서원구 복대로 23, 502호 (개신동, 효림메디컬센터)",043-267-6161
재가노인복지시설,청주,100세동안재가장기요양기관(청주점),권달원,청주시 서원구 사직대로 270 (사직동),043-262-1113
재가노인복지시설,청주,고려요양협동조합,심귀택,"청주시 서원구 사직대로 273, 3층 (사직동)",043-264-1919
재가노인복지시설,청주,마중재가노인복지센터(서원점),김선희,"청주시 서원구 사직대로144번길 34, 1층 19호 (사창동)",043-264-1285
재가노인복지시설,청주,직지재가복지센터,이태영,"청주시 서원구 사직대로144번길 34, 2층 10, 11호 (사창동, 신라아파트 상가)",043-267-7779
재가노인복지시설,청주,어울림노인복지센터,박선형,"청주시 서원구 서부로 1348, 3층 (성화동)",043-238-9988
재가노인복지시설,청주,서원주간보호센터,한은정,"청주시 서원구 서부로 1434, 3층 (성화동)",043-263-0866
재가노인복지시설,청주,남경재가장기요양기관,송경자,청주시 서원구 수곡로68번길 8-4 (수곡동),043-286-1020
재가노인복지시설,청주,다드림재가노인복지센터,유호성,"청주시 서원구 수곡로89번길 7-6, 102호 (수곡동)",043-900-2313
재가노인복지시설,청주,남들재가복지센터,우동제,"청주시 서원구 수영로 27-1, 2층 (수곡동)",043-285-7453
재가노인복지시설,청주,성화주야간보호센터,한상미,"청주시 서원구 신성화로 41, 3층 (성화동)",043-236-0713
재가노인복지시설,청주,휴앤케어노인복지센터,윤병종,"청주시 서원구 신성화로 49, 2층 (성화동, 백마빌딩)",043-233-3629
재가노인복지시설,청주,사랑드림 노인복지센터,유미경,"청주시 서원구 신화로32번길 2, 5층 (성화동)",043-283-9921
재가노인복지시설,청주,고은재가노인복지센터,고은해,"청주시 서원구 안뜸로40번길 4-1, 1층 (분평동)",043-903-2990
재가노인복지시설,청주,보성재가장기요양기관,이현정,"청주시 서원구 예체로129번길 16, 102호 (사창동)",043-271-0331
재가노인복지시설,청주,고운맘주간보호센터,한정민,"청주시 서원구 예체로67번길 79, 3층 (사창동)",043-265-1270
재가노인복지시설,청주,내고향노인주간보호센터,박지영,"청주시 서원구 장전로 81, 2층 (성화동)",043-236-0150
재가노인복지시설,청주,뿌리노인복지센터,박경수,"청주시 서원구 청남로 1878, 4층 (미평동, 준스퀘어빌딩)",043-272-8870
재가노인복지시설,청주,효성주간보호센터,최진엽,"청주시 서원구 청남로 1994, 5층 (분평동)",043-903-7599
재가노인복지시설,청주,동행재가복지센터,오연정,청주시 서원구 청남로 2095-1 (수곡동),043-217-3337
재가노인복지시설,청주,아이엠홈케어노인재가복지센터,정명희,"청주시 서원구 청남로 2140, 1층 (모충동)",043-291-0675
재가노인복지시설,청주,사라노인재가복지센터,곽예은,청주시 서원구 청남로 2155 (모충동),043-295-1240
재가노인복지시설,청주,다복한주간보호센터,오미현,"청주시 서원구 청남로2074번길 56, 1.2.3.4층 (수곡동)",043-285-4545
재가노인복지시설,청주,일상스토리재가방문요양센터,박영숙,청주시 서원구 청남로2104번길 22 (수곡동),043-295-8881
재가노인복지시설,청주,디딤돌재가복지센터,안희정,"청주시 서원구 청남로2136번길 4, 3층 (모충동)",043-903-7822
