연번,의료시설구분,기관명,기관 소재지,위도,경도,전화번호,데이터기준일
1,요양병원,남궁요양병원,"충청북도 청주시 상당구 상당로 47, 2.3층 (남문로2가)",36.6325235,127.4889287,043-252-3000,2022-10-31
2,정신병원,예사랑병원,충청북도 청주시 상당구 목련로 64 (운동동),36.605757,127.5282103,043-265-7337,2022-10-31
3,정신병원,주사랑병원,충청북도 청주시 상당구 가덕면 보청대로 4673-61,36.5529352,127.5395689,043-286-0692,2022-10-31
4,병원,웰니스어린이병원,충청북도 청주시 상당구 2순환로2031번길 6-20 (방서동),36.6016881,127.5094806,043-225-7700,2022-10-31
5,병원,마디사랑병원,충청북도 청주시 상당구 상당로 112 (북문로2가),36.6396563,127.489158,043-298-9988,2022-10-31
6,종합병원,의료법인인화재단한국병원,충청북도 청주시 상당구 단재로 106 (영운동),36.6173965,127.4991485,043-255-2900,2022-10-31
7,종합병원,의료법인정산의료재단효성병원,충청북도 청주시 상당구 쇠내로 16 (금천동),36.6244467,127.4955285,043-221-5000,2022-10-31
8,병원,의료법인청주병원,충청북도 청주시 상당구 상당로 163 (북문로3가),36.6428185,127.4882511,043-220-1234,2022-10-31
9,병원,공군항공우주의료원,충청북도 청주시 상당구 단재로 635 (사서함 335-21),36.6082291,127.4989401,043-290-5640,2022-10-31
10,의원,서울피부과의원,"충청북도 청주시 상당구 중고개로 137, 6층 (용암동)",36.6169444,127.5180213,043-284-1300,2022-10-31
11,의원,동남이비인후과의원,"충청북도 청주시 상당구 중고개로 129, 3층 5,6호 (용암동)",36.6252363,127.5091628,043-291-5575,2022-10-31
12,의원,더웰속편한내과의원,"충청북도 청주시 상당구 2순환로2031번길 6-20, 6층 (방서동)",36.602616,127.5025411,043-283-1282,2022-10-31
13,의원,속시원내과의원,"충청북도 청주시 상당구 중고개로 137, 5층 2,3,4호 (용암동)",36.6169444,127.5180213,043-292-2920,2022-10-31
14,의원,아이튼튼소아청소년과의원,"충청북도 청주시 상당구 중고개로 137, 5층 8,9호 (용암동)",36.6169444,127.5180213,043-283-7582,2022-10-31
15,의원,더블유비뇨의학과의원,"충청북도 청주시 상당구 산성로92번길 6, 굿모닝타워 7층 (금천동)",36.6307906,127.5035423,043-900-1101,2022-10-31
16,의원,신통요셉의원,"충청북도 청주시 상당구 중흥로 201, 3층 (용암동)",36.6202821,127.5145973,043-294-0775,2022-10-31
17,의원,와인성형외과의원,"충청북도 청주시 상당구 상당로 47, 4층 (남문로2가)",36.6335048,127.4902564,043-223-6000,2022-10-31
18,의원,본사랑정형외과의원,"충청북도 청주시 상당구 중고개로 115, 위너프라자1 2층 (용암동)",36.6252363,127.5091628,043-715-9922,2022-10-31
19,의원,방서서울가정의학과의원,"충청북도 청주시 상당구 1순환로 1202-3, 201,202호 (방서동)",36.6031096,127.5097645,043-283-8010,2022-10-31
20,의원,더나은내과의원,"충청북도 청주시 상당구 중고개로 115, 4층 403,404,405호 (용암동)",36.6252363,127.5091628,043-283-3100,2022-10-31
21,의원,드림소아청소년과의원,"충청북도 청주시 상당구 중고개로 115, 3층 304,305호 (용암동)",36.6252363,127.5091628,043-237-9949,2022-10-31
22,의원,서울굿마취통증의학과의원,"충청북도 청주시 상당구 중고개로 333, 3층 (금천동)",36.6291146,127.5068414,043-222-7588,2022-10-31
23,의원,미와모의원,"충청북도 청주시 상당구 상당로 50, 4층 (문화동)",36.6326789,127.4922735,043-284-8272,2022-10-31
24,의원,류마플러스내과의원,"충청북도 청주시 상당구 상당로 66, 2층 203호 (문화동)",36.6339051,127.4921631,043-225-4050,2022-10-31
25,의원,연세드림마취통증의학과의원,"충청북도 청주시 상당구 월평로 192, 202호 (용암동)",36.6094212,127.5052767,043-287-7770,2022-10-31
26,의원,참다운가정의학과의원,"충청북도 청주시 상당구 월평로 228, 203호 (용암동)",36.6073881,127.508339,043-298-8777,2022-10-31
27,의원,봄정신건강의학과의원,"충청북도 청주시 상당구 산성로92번길 6, 2층 (금천동, 굿모닝타워)",36.6307906,127.5035423,043-287-8157,2022-10-31
28,의원,더나은신통의원,"충청북도 청주시 상당구 중고개로 137, 5층 5,6호 (용암동)",36.6169444,127.5180213,043-267-7600,2022-10-31
29,의원,용암메디칼의원,"충청북도 청주시 상당구 월평로 174, 2층 (용암동)",36.6104475,127.5037118,043-288-0075,2022-10-31
30,의원,방서미즈닥터여성의원,"충청북도 청주시 상당구 2순환로2031번길 6-20, 6층 2호 (방서동)",36.6334905,127.4558375,043-210-5211,2022-10-31
31,의원,봉선화의원,"충청북도 청주시 상당구 수영로 295, 202호 (용담동, 양화타워)",36.6308932,127.5060988,043-292-9701,2022-10-31
32,의원,크리미의원,"충청북도 청주시 상당구 상당로 61, 2층 (북문로1가, / 상당로59번길 2, 2층 (북문로1가))",36.6336941,127.4904766,043-223-3441,2022-10-31
33,의원,명성의원,"충청북도 청주시 상당구 꽃산동로 25, 201,202호 (금천동, 금천우미린상가동)",36.6238828,127.509637,043-291-8275,2022-10-31
34,의원,제일신경외과의원,충청북도 청주시 상당구 수영로 293 (금천동),36.6308896,127.5043747,043-286-0123,2022-10-31
35,의원,굿모닝소아청소년과의원,"충청북도 청주시 상당구 산성로92번길 6 (금천동, 203호)",36.6307906,127.5035423,043-295-8575,2022-10-31
36,의원,메모리성형외과의원,"충청북도 청주시 상당구 상당로81번길 4, 3층 (북문로1가)",36.635549,127.4884548,043-221-0255,2022-10-31
37,의원,장튼튼내과의원,충청북도 청주시 상당구 월평로 192 (용암동),36.6094212,127.5052767,043-287-1110,2022-10-31
38,의원,유내과의원,"충청북도 청주시 상당구 청남로 2195, 2층 (석교동)",36.6276124,127.4905927,043-255-7575,2022-10-31
39,의원,편한내과의원,"충청북도 청주시 상당구 청남로 2196, 2층,3층 (석교동, 중앙메디컬빌딩)",36.6275714,127.4911274,043-224-2008,2022-10-31
40,의원,변우규신경과의원,"충청북도 청주시 상당구 상당로 10, 5~6층 (서운동)",36.6299927,127.493016,043-255-3375,2022-10-31
41,의원,드림신경외과의원,충청북도 청주시 상당구 수영로 277 (금천동),36.6306942,127.5037676,043-221-7555,2022-10-31
42,의원,문의제일의원,충청북도 청주시 상당구 문의면 문의시내로 45,36.5172423,127.4971642,043-288-3119,2022-10-31
43,의원,청주밝은안과의원,"충청북도 청주시 상당구 청남로 2196, 4층,5층 (석교동)",36.6275714,127.4911274,043-255-5200,2022-10-31
44,의원,오라클피부과의원,"충청북도 청주시 상당구 사직대로 370, 3층 301호 (북문로1가)",36.636684,127.488519,043-253-5559,2022-10-31
45,의원,드림비뇨기과의원,"충청북도 청주시 상당구 사직대로 363, 2층 (북문로2가)",36.6369977,127.4876995,043)225-7575,2022-10-31
46,의원,에스듈의원,"충청북도 청주시 상당구 상당로81번길 19, 에스듈의원 2,3,4,층 (북문로1가)",36.635435,127.4892516,043-224-3700,2022-10-31
47,의원,청주연세의원,"충청북도 청주시 상당구 중흥로 54-1, 3층 (용암동)",36.610407,127.5033074,043-283-1175,2022-10-31
48,의원,소리사랑이비인후과의원,충청북도 청주시 상당구 청남로 2200 (석교동),36.6277556,127.4914079,043-223-9275,2022-10-31
49,의원,새소망의원,"충청북도 청주시 상당구 무농정로 96, 202,203호 (용암동, 용암세원한아름아파트 상가동(1))",36.6094385,127.5119446,043-283-8875,2022-10-31
50,의원,연세로즈엘의원,충청북도 청주시 상당구 사직대로 370 (북문로1가),36.636684,127.488519,043-223-7003,2022-10-31
51,의원,하나마취통증의학과의원,충청북도 청주시 상당구 청남로 2194-2 (석교동),36.6272962,127.4908418,043-223-7533,2022-10-31
52,의원,튼튼정형외과의원,"충청북도 청주시 상당구 산성로92번길 6, 3층 (금천동, 굿모닝타워)",36.6307906,127.5035423,043-287-0852,2022-10-31
53,의원,아이미의원,"충청북도 청주시 상당구 사직대로 354-2, 3층 (서문동)",36.6364952,127.4865074,043-222-0708,2022-10-31
54,의원,성천모내과의원,"충청북도 청주시 상당구 수영로 307, 2층 (용담동)",36.6318489,127.5068699,043-292-7520,2022-10-31
55,의원,이소아청소년과의원,충청북도 청주시 상당구 중고개로 180-5 (용암동),36.6207749,127.5154361,043-286-8253,2022-10-31
56,의원,삼성의원,"충청북도 청주시 상당구 미원면 단재로 2411, 2층",36.6316738,127.654564,043-287-7582,2022-10-31
57,의원,금천성모의원,"충청북도 청주시 상당구 쇠내로 127, 2층 (금천동)",36.6225518,127.5065847,043-257-4861,2022-10-31
58,의원,진안과의원,"충청북도 청주시 상당구 청남로 2192, 1층,2층 (석교동)",36.6271534,127.4907511,043-222-7582,2022-10-31
59,의원,삼성의원,충청북도 청주시 상당구 남일면 효촌송암1길 3,36.5886349,127.5081473,043-293-8282,2022-10-31
60,의원,성모이비인후과의원,"충청북도 청주시 상당구 중고개로 334, 2층 (금천동, 의화빌딩)",36.6301087,127.5094929,043-93-9293,2022-10-31
61,의원,길소아청소년과의원,"충청북도 청주시 상당구 원봉로 21, 204호 (용암동, 태암소라아파트상가)",36.6120333,127.5103966,043-293-0539,2022-10-31
62,의원,국대정형외과의원,"충청북도 청주시 상당구 상당로 47, 1층 (남문로2가)",36.6328659,127.4898469,043-250-2114,2022-10-31
63,의원,서울연합메디컬의원,"충청북도 청주시 상당구 상당로69번길 15, 대신증권 2층 (북문로1가)",36.6342305,127.4896646,043-259-1114,2022-10-31
64,의원,참편한하신경과의원,"충청북도 청주시 상당구 중고개로 322, 2층 (금천동)",36.6301087,127.5094929,043-285-5288,2022-10-31
65,의원,정동호소아과의원,"충청북도 청주시 상당구 수영로 307, 3층 (용담동, 부민빌딩)",36.6318489,127.5068699,043-288-0361,2022-10-31
66,의원,청주누네안과의원,"충청북도 청주시 상당구 중고개로 129, 4층 1호 (용암동)",36.6252363,127.5091628,043-232-8460,2022-10-31
67,의원,굿모닝피부과의원,"충청북도 청주시 상당구 산성로92번길 6, 4층 (금천동, 굿모닝메디칼빌딩)",36.6307906,127.5035423,043-285-1510,2022-10-31
68,의원,목과슴사랑의원,"충청북도 청주시 상당구 상당로 4-2, 3층 (서운동)",36.6299927,127.493016,043-252-6800,2022-10-31
69,의원,본정형외과의원,충청북도 청주시 상당구 중흥로 54-1 (용암동),36.610407,127.5033074,043-285-9005,2022-10-31
70,의원,장준우정형외과의원,"충청북도 청주시 상당구 1순환로 1261, 3층 (용암동)",36.6166119,127.5164795,043-287-7522,2022-10-31
71,의원,연세베스토내과의원,충청북도 청주시 상당구 용암북로138번길 35 (용암동),36.6200239,127.5142636,043-292-7520,2022-10-31
72,의원,창이비인후과의원,"충청북도 청주시 상당구 1순환로 1261, 2층 (용암동)",36.6160641,127.5167177,043-287-3535,2022-10-31
73,의원,행복한노인의원,충청북도 청주시 상당구 상당로 19 (남문로1가),36.630888,127.4907455,043-257-0981,2022-10-31
74,의원,성모안과의원,"충청북도 청주시 상당구 중고개로 320, 2층 (금천동)",36.6301087,127.5094929,043-283-2839,2022-10-31
75,의원,오케이연합의원,"충청북도 청주시 상당구 중흥로 54, 3층 (용암동)",36.6105953,127.5035074,043-235-0365,2022-10-31
76,의원,김주영내과의원,"충청북도 청주시 상당구 청남로 2200, 2층 (석교동)",36.6277556,127.4914079,043-224-7100,2022-10-31
77,의원,프라우삼성산부인과의원,"충청북도 청주시 상당구 용암북로160번길 18, 2~6층 (용암동)",36.6217579,127.51472,043-255-2000,2022-10-31
78,의원,준비뇨기과의원,"충청북도 청주시 상당구 수영로 285, 3층 303호 (금천동, 튼튼타워)",36.6304885,127.5058856,043-287-0211,2022-10-31
