"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"대성베르힐2단지경로당","3272-0","충청북도 청주시 상당구 호미로 2 (용암동, 동남지구 대성베르힐2차)",127.5173342,36.6125307,,0,,"N","Y"
"신한은행증평지점","49-0","충청북도 증평군 증평읍 중앙로 214 ",127.5823134,36.7845139,,0,,"N","Y"
"증평신협","32-0","충청북도 증평군 증평읍 중앙로 210 ",127.5819701,36.7844345,,0,,"N","Y"
"NH농협은행증평군지부","66-0","충청북도 증평군 증평읍 중앙로 236 ",127.5840005,36.7860026,,0,,"N","Y"
"신기리경로당","220-3","충청북도 청주시 청원구 북이면 신기길 33 ",127.5453043,36.7332373,,1,,"Y","Y"
"북부경로당","104-4","충청북도 청주시 상당구 수동로 84-1 (수동)",127.4930039,36.6438286,,4,,"N","Y"
"수암경로당","83-19","충청북도 청주시 상당구 수암로54번길 13-1 (수동)",127.4949995,36.6469663,,4,,"N","Y"
"청주시노인종합복지관","138-8","충청북도 청주시 상당구 대성로172번길 21 (수동)",127.492902,36.641005,,0,,"N","Y"
"신한은행충북영업부금융센터","86-3","충청북도 청주시 상당구 사직대로 343",127.4850963,36.6368617,,0,,"N","Y"
"서청주파크자이아파트경로당","422-0","충청북도 청주시 흥덕구 2순환로 1106 (비하동, 서청주파크자이)",127.4202678,36.6345439,,4,,"N","Y"
"석성2리경로당","249-0","충청북도 청주시 청원구 북이면 석성한천길 43-1 ",127.5130829,36.7585425,,1,,"Y","Y"
"신주공2단지","545-0","충청북도 증평군 증평읍 창신로 85 (증평주공3단지아파트)",127.5814145,36.7786628,,1,,"N","Y"
"양촌2리경로당","291-7","충청북도 청주시 서원구 남이면 양촌2길 46-6 ",127.4649363,36.5924351,,1,,,"Y"
"삼덕경로당","670-22","충청북도 청주시 청원구 향군로151번길 10",127.4784886,36.6572904,,3,,"N","Y"
"형동2리경로당","407-0","충청북도 청주시 청원구 내수읍 형동2길 90 ",127.5630981,36.6928207,,2,,"N","Y"
"덕암2리경로당","158-8","충청북도 청주시 청원구 내수읍 덕암2길 38 ",127.5532597,36.692055,,2,,"N","Y"
"풍정1리경로당","241-4","충청북도 청주시 청원구 내수읍 풍정길 36-5 ",127.5449234,36.700735,,2,,"N","Y"
"도원3리경로당","57-0","충청북도 청주시 청원구 내수읍 도원세교로 63 (우창진주2차아파트)",127.5405461,36.7098956,,2,,"N","Y"
"마산7리경로당","210-0","충청북도 청주시 청원구 내수읍 청암로 35 (청원내수주공아파트)",127.5342911,36.7236302,,2,,"N","Y"
"은곡3리경로당","251-22","충청북도 청주시 청원구 내수읍 은곡3길 11 ",127.5278646,36.7168965,,2,,"N","Y"
"내수1리경로당","45-54","충청북도 청주시 청원구 내수읍 내수본길 22 ",127.5349671,36.7280072,,2,,"N","Y"
"주중12통경로당","445-3","충청북도 청주시 청원구 주중로26번길 17",127.4855048,36.6865883,,2,,"N","Y"
"주중13통경로당","278-2","충청북도 청주시 청원구 주중로2번길 159-35 (주중동)",127.4904022,36.6834623,,2,,"N","Y"
"비하34통경로당","36-6 비하34통경로당","충청북도 청주시 흥덕구  비하로15번길  8-1, 비하34통경로당 (비하동)",127.4247763,36.6286939,,2,,"N","Y"
"삼일아파트경로당","236-5","충청북도 청주시 흥덕구 2순환로1136번길 28 (비하동, 삼일아파트)",127.4233362,36.6335459,,2,,"N","Y"
"청향경로당","676-7 비하청향경로당","충청북도 청주시 흥덕구  청향로15번길  22 , 비하청향경로당 (비하동)",127.4208178,36.6367929,,3,,"N","Y"
"한국건강관리협회메디체크충북세종지부","725-0","충청북도 청주시 흥덕구 직지대로 631 (봉명동)",127.4632153,36.6434284,,4,,,"Y"
"석성1리경로당","400-5","충청북도 청주시 청원구 북이면 석성길 2-20 ",127.5137776,36.7514401,,1,,"Y","Y"
"충청북도도청동관옥상","89-0","충청북도 청주시 상당구 상당로 82 (문화동)",127.492041,36.6358439,,,,,"Y"
"성동신협성화1지점","691-0","충청북도 청주시 서원구 복대로 31",127.4450761,36.6199363,,0,,"N","Y"
"성화개신죽림동행정복지센터","626 성화개신죽림동주민센터","충청북도 청주시 서원구  성봉로  128 , 성화개신죽림동주민센터 (성화동)",127.4531639,36.617026,,15,,"N","Y"
"남양휴튼A경로당","436-0","충청북도 청주시 서원구 신화로 47 (성화동)",127.4541856,36.6186277,,3,,"N","Y"
"동남LH1단지경로당","3145-0","충청북도 청주시 상당구 호미로 137 (용암동, 청주동남1단지)",127.519362,36.6215985,,2,,"N","Y"
"서운동경로당","33-33","충청북도 청주시 상당구 상당로26번길 21 (서운동)",127.4923757,36.6307371,,5,,"N","Y"
"남문로1가경로당","87-0","충청북도 청주시 상당구 상당로25번길 21-2",127.4898314,36.630023,,4,,"N","Y"
"효성2차아파트경로당","362-0","충청북도 청주시 흥덕구 2순환로1050번길 24 (비하동, 효성2차아파트)",127.4208328,36.6410549,,3,,"N","Y"
"계룡리슈빌경로당","125 비하동 계룡리슈빌 아파트 계룡리슈빌경로당","충청북도 청주시 흥덕구  가로수로1131번길  101 , 계룡리슈빌경로당 (비하동, 비하동 계룡리슈빌 아파트)",127.4213269,36.6294784,,2,,"N","Y"
"비하계룡리슈빌2차경로당","809 청주비하계룡리슈빌2차아파트 비하계룡리슈빌2차경로당","충청북도 청주시 흥덕구  비하로57번길  37 , 비하계룡리슈빌2차경로당 (비하동, 청주비하계룡리슈빌2차아파트)",127.4218915,36.6311084,,2,,"N","Y"
"보성경로당","2448-0","충청북도 청주시 흥덕구 신율로 77 (복대동, 보성아파트)",127.4461927,36.6249739,,3,,"N","Y"
"상야1리경로당","14-3","충청북도 청주시 상당구 가덕면 상야1길 406-2",127.577525,36.585403,,2,,"N","Y"
"한계1리경로당","166-1","충청북도 청주시 상당구 가덕면한계길 34",127.567088,36.597208,,2,,"N","Y"
"은곡2리경로당","170-3","충청북도 청주시 청원구 내수읍 은곡길 102 ",127.530182,36.7041585,,2,,"N","Y"
"묵방2리경로당","202-2","충청북도 청주시 청원구 내수읍 묵방2길 82 ",127.528114,36.6898225,,2,,"N","Y"
"구성3리경로당","286-30","충청북도 청주시 청원구 내수읍 구성새동네길 79-6 ",127.5113744,36.6902914,,2,,"N","Y"
"구성2리경로당","308-0","충청북도 청주시 청원구 내수읍 구성신화동길 88 ",127.514357,36.6953413,,3,,"N","Y"
"내수읍행정복지센터","149-2","충청북도 청주시 청원구 내수읍 마산3길 49 ",127.5354713,36.723957,,0,,"N","Y"
"내수읍주민자치센터","149-3","충청북도 청주시 청원구 내수읍 마산리 149-3",127.5350019,36.7235614,,4,,"N","Y"
"일진뜨리에아파트경로당","109-69","충청북도 증평군 증평읍 가장골길 16-18 ",127.5756964,36.7768382,,1,,"N","Y"
"삼일아파트여자","255-0","충청북도 증평군 증평읍 장뜰로 110 (삼일아파트)",127.5882027,36.786732,,2,,"N","Y"
"힐즈파크푸르지오아파트경로당","857","충청북도 청주시 청원구 1순환로 123 (청주힐즈파크푸르지오 경로당)",127.498457,36.661422,,2,,"N","Y"
"개신주공3차@경로당","590-0","충청북도 청주시 서원구 신율로 43",127.4449758,36.6221391,,2,,"N","Y"
"LG전자베스트샵산남점","1109-0","충청북도 청주시 서원구 산남로 3 (산남동)",127.4737725,36.612197,,0,,"N","Y"
"시티프라디움1단지경로당","3146-0","충청북도 청주시 상당구 중고개로142번길 31 (용암동, 시티프라디움 1단지)",127.5201881,36.6199969,,0,,"N","Y"
"중앙동행정복지센터","130-10","충청북도 청주시 상당구 교서로32번길 31",127.4882034,36.6398308,,0,,"N","Y"
"성안동행정복지센터","3-9","충청북도 청주시 상당구 대성로 72",127.4932408,36.6316814,,3,,"N","Y"
"수곡1리경로당","323-0","충청북도 청주시 상당구 가덕면 수곡1길 11-6",127.5657114,36.5646581,,2,,"N","Y"
"장양3리경로당","170-1","충청북도 청주시 청원구 북이면 장양3길 13 ",127.5331512,36.7512188,,3,,"Y","Y"
"시동리경로당","116-3","충청북도 청주시 상당구 가덕면 인차시동로 288-21 ",127.569302,36.5716263,,3,,"N","Y"
"인차2리경로당","13-1","충청북도 청주시 상당구 가덕면 계산은행로 15",127.5597109,36.5621027,,1,,"N","Y"
"한울아파트경로당","1144 경로당","충청북도 청주시 청원구  주성로96번길  12 , 경로당 (율량동)",127.4778337,36.6678686,,1,,"N","Y"
"현대아파트경로당","891-0","충청북도 청주시 청원구 율봉로159번길 10 (율량동, 현대아파트)",127.4863963,36.6690106,,2,,"N","Y"
"현대산업아파트경로당","1206-0","충청북도 청주시 청원구 공항로141번길 35 (율량동)",127.4834244,36.6693483,,1,,"N","Y"
"효성2차아파트경로당","1264-0","충청북도 청주시 청원구 사뜸로 62 (율량동, 율량동효성2차아파트)",127.480824,36.6679155,,2,,"N","Y"
"석우리경로당","94-1","충청북도 청주시 청원구 오창읍 석우길 19-28 ",127.4568504,36.7166062,,2,,"N","Y"
"척산2리경로당","594-4","충청북도 청주시 서원구 남이면척산길 16-5",127.434661,36.561218,,1,,,"Y"
"남이면행정복지센터","608-1","충청북도 청주시 서원구 남이면척산길 7",127.4335781,36.5606697,,0,,"N","Y"
"양지경로당","129-7 양지경로당","충청북도 청주시 상당구  산성로27번길  2 , 양지경로당 (탑동)",127.4989694,36.6266477,,3,,"N","Y"
"탑동할머니경로당","40-8 탑동할머니경로당","충청북도 청주시 상당구  탑동로61번길  4 , 탑동할머니경로당 (탑동)",127.5004006,36.6309451,,3,,"N","Y"
"삼일맨션경로당","83-12 탑동삼일맨션 삼일맨션경로당","충청북도 청주시 상당구  산성로49번길  4 , 삼일맨션경로당 (탑동, 탑동삼일맨션)",127.5004305,36.6286561,,3,,"N","Y"
"금호2차경로당","3367 금호어울림2단지 금호2차경로당","충청북도 청주시 흥덕구  대신로74번길  21 , 금호2차경로당 (복대동, 금호어울림2단지)",127.4363673,36.6410459,,1,,"N","Y"
"상리경로당","122","충청북도 청주시 청원구  상리로8번길  7-3  (율량동)",127.5122358,36.6636201,,2,,"N","Y"
"새터경로당","180-3","충청북도 청주시 청원구  2순환로438번길  1   (사천동)",127.4719056,36.6701342,,2,,"N","Y"
"선광로즈웰1차아파트경로당","2080-0","충청북도 청주시 청원구 율량로 157 (율량동, 선광로즈웰1차아파트)",127.5002579,36.6689051,,0,,"N","Y"
"서문동경로당","180-11","충청북도 청주시 상당구 남사로93번길 27-5",127.4856825,36.6330858,,1,,"N","Y"
"석교동경로당","126-156","충청북도 청주시 상당구 대성로21번길 10-1",127.4926671,36.6272683,,3,,"N","Y"
"문화동경로당","17-4","충청북도 청주시 상당구 용담로31번길 21 (문화동)",127.4937549,36.6333623,,2,,"N","Y"
"남주동경로당","593-5","충청북도 청주시 상당구 무심동로336번길 13",127.483752,36.631212,,2,,"N","Y"
"진화하이츠경로당","867-0","충청북도 청주시 청원구 율봉로 217-2 (율량동)",127.4939011,36.6688019,,1,,"N","Y"
